gmail_id,gender,marital_status,seniorcitizen,tenure,auto_renewal,subscription_type,devices_connected,tickets_raised,feedback_sentiment,payment_method,subscription_status,country,language,failed_login_attempts,login_frequency,monthly_usage_hours,server_switch_frequency,streaming_access,average_speed_mbps,connection_success_rate,plan_upgrade_attempts,last_login,unresolved_tickets,discount_used,churn
chris.nguyen494@gmail.com,Male,Married,False,8,off,basic,1,7,negative,card,expired,US,Telugu,13,11,61,4,True,poor,14,7,old,14,False,yes
tiffany.brown998@gmail.com,Male,Single,False,7,off,gold,1,1,positive,upi,expired,India,Hindi,8,4,200,7,True,good,3,4,old,20,True,no
heather.smith457@gmail.com,Female,Married,False,4,on,basic,8,10,negative,card,active,Germany,Telugu,6,15,195,1,False,poor,7,0,recent,11,True,no
timothy.young13@gmail.com,Male,Single,False,4,on,gold,4,17,negative,upi,expired,Germany,Hindi,45,12,48,7,True,better,7,7,very_old,18,False,yes
donald.perry713@gmail.com,Male,Married,False,1,off,premium,3,17,neutral,card,expired,Germany,Telugu,34,13,63,8,False,poor,5,5,recent,4,False,no
laura.bryant113@gmail.com,Female,Single,False,4,off,gold,7,14,negative,card,cancelled,India,Hindi,47,18,52,7,False,better,14,10,old,9,False,yes
melinda.gonzales425@gmail.com,Female,Single,False,5,on,basic,2,16,negative,card,active,Germany,English,18,12,52,8,True,poor,7,2,old,16,False,yes
alex.davis126@gmail.com,Female,Married,True,2,off,basic,5,9,negative,upi,active,UK,English,19,23,143,2,False,better,17,0,recent,2,False,yes
hector.miranda282@gmail.com,Male,Single,True,4,off,basic,3,5,neutral,paypal,expired,Germany,Hindi,46,9,166,10,False,better,4,5,old,15,True,yes
edward.ellis151@gmail.com,Male,Single,False,9,off,gold,2,2,neutral,card,cancelled,Germany,Telugu,8,8,158,7,False,good,4,6,old,5,True,no
jacqueline.bates75@gmail.com,Male,Single,True,4,on,premium,2,15,positive,card,cancelled,US,Telugu,10,11,10,3,True,poor,4,9,very_old,9,True,yes
brandon.williams575@gmail.com,Female,Single,False,7,on,premium,9,14,positive,card,active,Germany,Hindi,35,19,43,5,True,good,15,9,old,8,True,no
becky.lewis672@gmail.com,Male,Married,True,10,off,premium,6,0,negative,paypal,cancelled,UK,Hindi,27,16,65,6,False,better,16,3,old,3,False,yes
priscilla.white613@gmail.com,Male,Married,True,9,on,premium,6,19,neutral,paypal,cancelled,Germany,Hindi,4,1,179,7,False,good,10,4,recent,14,False,yes
latoya.richmond652@gmail.com,Male,Married,False,10,on,basic,7,1,neutral,paypal,expired,India,English,36,19,136,3,True,good,3,5,recent,6,True,no
raymond.anderson903@gmail.com,Male,Married,False,3,off,basic,4,2,neutral,paypal,active,UK,English,31,1,130,3,True,better,5,0,recent,0,False,no
dorothy.chavez271@gmail.com,Female,Married,True,5,off,premium,3,16,negative,upi,expired,UK,Telugu,46,23,143,5,False,better,15,9,recent,11,True,no
betty.watson635@gmail.com,Male,Married,False,6,on,premium,7,15,neutral,upi,cancelled,Germany,Hindi,26,15,130,1,False,poor,3,0,very_old,20,False,yes
ann.wilson477@gmail.com,Male,Single,False,8,off,basic,6,17,negative,upi,cancelled,Germany,Telugu,29,8,69,2,True,poor,16,9,recent,18,False,yes
erika.brown984@gmail.com,Male,Married,False,7,off,basic,3,3,neutral,upi,expired,India,Telugu,20,7,79,1,False,better,15,3,very_old,16,True,no
kristina.jennings571@gmail.com,Male,Married,False,7,off,basic,5,2,negative,upi,active,Germany,English,48,0,165,7,False,good,16,5,old,1,False,no
tiffany.osborne799@gmail.com,Male,Married,True,10,on,gold,6,6,negative,paypal,active,Germany,Hindi,44,15,137,5,True,good,14,3,very_old,19,False,no
